Day,MaxTemp,Rainfall,Evaporation
340,21.3,3,4.2
341,18,0,4.8
342,16,8.2,5.4
343,17.9,0,5.8
344,20,0,6.2
345,22,0,4.4
346,22.4,0,5.4
347,23.9,0,4.8
348,26.1,0,6.2
349,21.1,13.2,6.6
350,19.6,0.6,3.4
351,21,0,4.2
352,24.1,0,6.2
353,24.7,0,5.4
354,28.5,0,5.8
355,27.4,0.2,7.6
356,20.6,0,9
357,15,0.8,4.8
358,18,0,7.4
359,20.7,0,5.4
360,25.5,0,5.2
361,26.1,0,6.8
362,30.7,0,7.6
363,28.4,0,11.6
364,19.9,0,8.4
365,26.9,0,5
366,30.2,0,6
